,Alabama-apple-driving,Alabama-apple-walking,Alaska-apple-driving,Alaska-apple-walking,Arizona-apple-driving,Arizona-apple-walking,Arkansas-apple-driving,Arkansas-apple-walking,California-apple-driving,California-apple-walking,Colorado-apple-driving,Colorado-apple-walking,Connecticut-apple-driving,Connecticut-apple-walking,Delaware-apple-driving,Delaware-apple-walking,Florida-apple-driving,Florida-apple-walking,Georgia-apple-driving,Georgia-apple-walking,Hawaii-apple-driving,Hawaii-apple-walking,Idaho-apple-driving,Idaho-apple-walking,Illinois-apple-driving,Illinois-apple-walking,Indiana-apple-driving,Indiana-apple-walking,Iowa-apple-driving,Iowa-apple-walking,Kansas-apple-driving,Kansas-apple-walking,Kentucky-apple-driving,Kentucky-apple-walking,Louisiana-apple-driving,Louisiana-apple-walking,Maine-apple-driving,Maine-apple-walking,Maryland-apple-driving,Maryland-apple-walking,Massachusetts-apple-driving,Massachusetts-apple-walking,Michigan-apple-driving,Michigan-apple-walking,Minnesota-apple-driving,Minnesota-apple-walking,Mississippi-apple-driving,Mississippi-apple-walking,Missouri-apple-driving,Missouri-apple-walking,Montana-apple-driving,Montana-apple-walking,Nebraska-apple-driving,Nebraska-apple-walking,Nevada-apple-driving,Nevada-apple-walking,New Hampshire-apple-driving,New Hampshire-apple-walking,New Jersey-apple-driving,New Jersey-apple-walking,New Mexico-apple-driving,New Mexico-apple-walking,New York-apple-driving,New York-apple-walking,North Carolina-apple-driving,North Carolina-apple-walking,North Dakota-apple-driving,North Dakota-apple-walking,Ohio-apple-driving,Ohio-apple-walking,Oklahoma-apple-driving,Oklahoma-apple-walking,Oregon-apple-driving,Oregon-apple-walking,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Rhode Island-apple-driving,Rhode Island-apple-walking,South Carolina-apple-driving,South Carolina-apple-walking,South Dakota-apple-driving,South Dakota-apple-walking,Tennessee-apple-driving,Tennessee-apple-walking,Texas-apple-driving,Texas-apple-walking,Utah-apple-driving,Utah-apple-walking,Vermont-apple-driving,Vermont-apple-walking,Virginia-apple-driving,Virginia-apple-walking,Washington-apple-driving,Washington-apple-walking,West Virginia-apple-driving,West Virginia-apple-walking,Wisconsin-apple-driving,Wisconsin-apple-walking,Wyoming-apple-driving,Wyoming-apple-walking
2021-01-12,115.88,139.1,112.21,124.76,96.91,105.7,115.46,138.91,84.25,83.65,93.98,100.04,100.81,111.87,110.97,138.9,100.31,110.8,109.04,119.22,67.76,60.03,126.26,149.2,94.85,90.14,108.66,82.33,113.12,114.69,107.71,141.42,109.16,133.05,93.52,36.36,111.34,138.26,96.5,109.85,87.92,75.24,97.87,102.17,89.63,118.75,120.61,173.49,101.69,128.93,130.55,164.48,111.44,112.99,104.13,90.88,103.95,126.91,100.35,117.44,100.83,121.77,91.5,58.81,112.63,122.85,109.55,149.64,105.76,112.56,113.21,115.15,96.66,96.65,99.64,82.99,107.05,126.48,114.72,114.92,123.92,172.79,107.32,105.02,101.45,114.94,119.2,148.63,98.61,94.55,98.93,97.15,108.0,99.06,108.36,101.19,106.29,127.26,123.2,166.23
2021-01-13,117.73,149.98,114.2,131.3,97.89,106.52,116.05,144.37,86.33,86.49,96.34,102.96,101.91,112.25,108.17,138.33,101.07,109.64,111.22,125.14,68.39,59.31,128.15,151.79,96.4,91.12,110.46,84.55,113.14,115.42,109.46,142.53,111.27,136.81,97.01,38.41,110.73,139.47,99.99,116.63,90.23,80.2,100.74,107.58,92.47,127.2,122.87,181.33,102.52,128.35,131.33,163.1,113.01,108.65,107.92,93.45,105.3,134.49,100.33,118.95,103.81,126.32,91.78,58.63,115.83,129.63,108.28,147.74,109.1,119.75,113.34,117.73,105.46,111.28,101.03,85.3,107.62,125.04,116.94,120.72,123.6,165.14,109.04,110.28,103.39,120.07,119.55,147.5,99.3,98.35,101.59,100.1,118.65,108.23,110.68,106.96,108.12,132.59,124.3,164.14
2021-01-14,124.18,153.65,117.53,136.04,102.06,110.22,121.06,141.2,89.56,88.95,99.39,108.55,104.06,113.47,112.48,140.67,105.82,119.74,118.16,133.25,69.63,61.19,138.38,158.39,98.1,90.55,112.93,84.57,104.34,102.95,112.97,138.66,115.76,139.65,100.06,39.47,111.54,132.63,100.0,116.36,91.32,77.17,103.99,111.42,81.47,108.32,129.78,185.24,105.73,126.69,138.76,172.22,112.37,110.52,110.26,101.84,108.02,135.15,103.47,121.11,105.9,128.2,94.15,61.21,119.91,131.41,98.01,129.28,112.61,123.32,118.21,114.43,106.17,111.35,104.23,87.97,109.37,122.88,123.89,124.59,117.6,152.01,115.4,113.95,108.24,125.14,129.11,159.73,102.13,100.94,105.21,103.31,117.22,108.95,116.71,107.75,106.32,127.24,130.81,164.86
2021-01-15,147.69,170.04,136.84,153.31,120.73,134.17,140.03,160.83,104.78,103.08,120.18,136.08,120.28,132.36,131.14,172.47,124.05,143.05,138.18,157.88,79.34,71.13,162.8,183.19,113.89,111.3,131.96,107.33,104.51,121.07,116.08,143.84,131.63,161.07,115.65,47.35,131.38,165.02,116.01,134.65,104.87,96.0,117.74,130.33,98.09,139.66,151.04,204.81,108.46,137.22,162.0,209.48,95.22,102.42,127.85,133.53,131.78,162.05,117.59,141.44,125.16,153.14,106.97,68.66,137.46,154.41,125.48,167.02,127.41,145.33,136.22,137.61,121.76,123.16,120.15,105.65,124.31,141.28,143.61,148.61,130.15,172.29,134.42,144.5,129.15,149.64,156.08,193.18,124.25,120.21,122.58,120.41,131.08,121.8,135.34,130.56,127.58,159.17,152.75,207.72
2021-01-16,134.79,156.99,128.13,136.6,119.5,140.46,132.65,160.09,100.2,108.3,112.59,141.68,112.67,133.87,124.11,163.5,118.28,151.53,132.2,171.0,82.05,69.62,156.68,190.11,108.96,117.17,126.14,111.63,133.37,139.84,126.02,167.59,118.83,145.44,107.43,50.49,106.94,139.52,112.34,138.38,92.95,92.61,113.7,129.8,103.63,139.21,143.87,203.04,120.0,164.16,155.6,190.72,136.56,136.66,129.51,161.74,120.77,172.16,117.08,150.07,117.66,146.66,99.86,73.8,131.41,165.23,128.16,168.86,123.5,144.81,130.06,134.47,114.81,127.58,116.7,113.94,114.4,139.38,136.61,166.5,160.03,202.38,129.34,156.41,125.26,162.79,154.11,195.95,114.29,115.7,119.27,125.59,124.57,123.19,116.72,105.48,127.51,170.09,151.58,203.97
2021-01-17,102.27,110.77,103.58,113.93,94.48,106.61,100.55,106.22,85.48,90.22,91.67,105.26,95.99,110.63,96.94,127.51,92.2,112.42,104.19,124.14,63.76,57.24,113.17,120.25,84.42,86.87,94.83,76.95,100.63,100.27,91.49,113.24,92.93,107.64,78.79,37.1,107.48,133.61,87.53,106.09,83.2,82.6,86.2,96.07,84.51,106.42,106.08,139.01,91.88,115.82,125.1,130.05,106.24,98.61,107.62,124.41,114.67,143.36,94.11,117.93,97.59,111.93,83.46,61.45,102.7,120.57,98.16,111.6,93.13,105.36,98.54,94.3,93.71,99.34,92.46,86.22,97.73,116.07,104.22,114.15,122.0,132.23,103.05,113.16,96.2,120.03,96.82,117.64,113.89,89.8,94.86,99.53,100.3,99.01,99.83,87.39,104.65,126.22,131.89,153.82
2021-01-18,122.24,133.26,112.59,128.17,104.06,110.49,119.62,134.35,92.86,92.42,98.83,100.22,106.71,119.32,114.35,138.16,104.04,115.87,113.91,123.77,65.0,55.3,140.76,148.9,96.99,89.02,109.74,85.11,116.82,116.87,112.06,140.23,110.45,128.65,94.62,37.38,117.73,132.76,97.8,111.66,91.2,84.22,99.6,108.71,93.63,116.9,126.8,177.02,104.65,129.57,136.35,155.18,114.4,106.3,111.24,101.62,117.43,135.47,104.66,122.57,106.86,124.1,91.69,61.04,117.76,128.47,109.82,138.89,106.08,110.93,114.36,117.23,111.28,110.99,103.55,88.3,103.68,120.85,122.06,118.12,130.63,150.16,114.42,113.05,106.7,125.13,132.4,150.91,118.53,96.4,104.79,102.65,119.14,108.98,109.55,98.34,110.83,128.94,127.64,154.97
2021-01-19,116.06,137.42,107.85,134.22,96.16,102.05,114.71,136.25,85.96,83.49,90.91,94.39,100.09,110.49,111.03,139.28,101.55,112.89,108.85,118.21,65.48,58.36,131.53,162.83,93.23,85.62,107.48,98.1,110.16,108.78,106.64,139.23,107.96,137.27,94.89,37.67,107.86,125.02,96.52,112.01,86.95,77.05,97.07,107.66,87.84,114.25,123.95,182.0,99.61,134.18,128.69,154.7,110.91,108.05,103.85,90.46,101.71,127.62,99.13,114.62,94.68,110.59,89.02,55.93,113.74,127.84,106.29,134.67,105.4,116.97,113.19,124.94,100.4,103.3,98.43,83.76,105.37,119.1,115.63,115.98,120.36,146.42,107.8,107.38,99.71,117.33,119.52,150.41,98.74,88.15,101.33,98.87,109.51,101.78,107.47,108.8,104.68,126.79,121.84,167.68
2021-01-20,113.54,140.75,112.78,133.48,96.06,104.24,111.45,130.13,85.37,84.78,92.12,100.33,98.44,111.87,105.85,138.2,99.09,111.02,106.53,116.42,65.24,57.44,128.22,149.86,93.17,86.34,105.16,94.24,109.12,114.19,106.18,139.0,106.29,130.58,92.99,36.94,106.57,128.91,94.61,112.34,86.12,74.09,96.09,106.27,87.96,113.92,118.58,182.92,98.69,132.72,126.61,148.12,110.32,111.32,102.86,89.57,101.05,120.58,96.28,112.82,95.92,125.32,88.68,54.97,110.5,125.26,105.12,143.95,103.42,115.59,109.38,120.87,97.29,98.16,96.1,81.7,104.07,111.32,114.26,114.58,120.94,154.93,105.01,109.0,97.69,113.85,117.24,146.25,92.25,89.01,97.44,95.83,107.82,99.09,105.46,97.7,103.7,127.41,120.92,160.55
2021-01-21,116.86,136.0,112.8,135.52,100.25,106.85,118.52,134.32,89.55,87.92,96.45,103.69,103.03,113.1,109.74,137.06,104.77,116.48,110.45,116.6,66.91,57.1,134.96,146.81,99.84,94.49,111.37,93.58,117.39,119.83,112.08,141.5,112.09,133.44,94.99,37.87,110.67,130.43,99.38,115.1,89.54,76.36,103.72,112.85,94.07,123.68,121.71,167.84,106.22,138.03,135.19,158.96,118.01,114.03,109.34,100.19,105.35,120.88,100.96,116.16,101.94,122.44,93.56,59.29,114.19,124.59,109.71,135.21,110.21,123.52,116.35,120.45,101.22,97.23,101.44,86.73,107.96,116.53,119.85,115.2,130.54,163.61,110.54,110.0,103.9,119.25,124.26,150.23,100.7,92.11,101.97,101.84,110.18,98.98,111.94,100.31,110.87,137.79,128.07,165.07
2021-01-22,136.12,156.53,128.1,141.83,116.76,128.33,138.5,158.4,100.15,95.97,115.43,128.32,120.27,135.63,127.55,169.98,121.13,141.58,130.39,146.33,74.19,65.81,158.2,181.98,113.7,108.2,129.69,108.08,139.45,142.19,130.05,170.78,132.16,159.2,107.71,44.11,129.52,153.34,114.93,137.15,104.22,94.47,117.77,129.1,110.21,144.73,142.95,195.28,123.66,164.14,153.84,186.33,139.05,139.0,125.99,131.05,129.95,162.5,116.45,140.98,118.15,149.83,106.06,70.1,135.26,155.06,134.39,163.7,126.23,146.62,135.13,143.11,118.78,121.55,119.55,108.29,127.69,142.02,137.92,141.48,159.68,192.96,132.46,144.94,122.52,146.54,144.99,181.77,119.78,115.03,119.36,124.19,130.49,121.54,128.23,127.81,132.33,167.87,146.44,204.43
2021-01-23,135.35,158.66,122.49,127.03,115.52,131.79,130.7,146.34,91.7,93.79,111.89,134.2,118.19,136.97,123.69,160.01,115.76,147.23,134.45,170.19,75.49,64.35,153.78,179.04,115.04,120.24,128.45,112.82,135.69,150.36,129.54,171.11,127.6,165.07,105.02,47.3,128.07,162.44,111.25,138.96,101.22,98.63,115.99,133.51,98.81,135.44,140.05,198.64,125.74,172.94,150.67,179.48,133.32,138.86,126.07,155.54,135.59,175.35,116.64,145.35,112.74,137.33,101.08,69.09,133.68,169.53,126.44,179.07,126.74,158.71,128.58,134.64,119.43,125.24,117.79,114.3,125.73,148.73,135.49,161.19,139.55,189.58,132.81,159.73,120.2,153.99,137.41,170.67,124.39,111.88,116.66,126.01,128.57,126.57,121.23,124.42,134.32,183.02,145.18,179.1
2021-01-24,96.56,101.15,95.92,102.85,84.85,86.76,90.92,94.02,77.24,74.93,85.45,90.89,89.25,99.36,92.24,118.72,87.65,104.88,97.11,108.17,59.88,52.75,103.71,107.9,81.63,82.56,87.88,69.22,96.85,103.37,88.52,112.5,90.07,104.9,74.26,31.74,99.51,112.86,84.17,100.36,76.8,70.42,79.89,85.66,79.64,108.89,96.1,120.08,87.58,109.21,119.0,121.71,98.68,99.34,100.04,106.86,102.11,121.29,87.5,105.71,87.91,96.87,79.22,51.26,97.35,105.45,92.11,101.99,89.69,98.91,89.39,85.69,81.6,79.25,88.02,78.15,93.04,101.28,97.59,93.75,115.62,122.02,93.22,92.8,85.79,100.17,85.4,98.42,105.98,79.69,88.31,88.76,90.17,82.7,97.39,85.62,92.17,125.56,136.69,136.46
2021-01-25,112.69,139.24,113.34,129.81,92.63,92.34,110.27,128.5,86.03,78.73,88.79,90.75,96.59,106.71,102.38,125.03,100.59,111.68,106.05,114.12,68.69,52.45,126.25,136.44,85.42,78.86,98.29,78.91,78.83,102.85,92.78,120.98,101.32,130.17,90.52,34.96,104.97,125.51,87.82,101.65,84.98,76.34,95.78,100.1,86.31,112.51,114.92,160.51,92.13,114.54,126.53,145.63,51.92,71.08,105.59,88.04,99.38,116.35,94.49,110.22,95.88,115.13,87.87,54.8,104.99,112.83,103.32,130.18,99.93,111.77,109.39,122.32,94.7,93.45,94.88,78.96,101.7,112.21,111.19,106.82,115.89,142.01,102.82,102.71,99.35,117.7,115.55,136.87,96.35,81.39,93.74,90.93,106.33,95.07,103.42,97.46,100.55,132.9,117.82,163.75
2021-01-26,119.66,143.65,112.65,126.58,97.05,98.22,117.93,132.41,88.35,82.73,83.57,80.07,89.33,97.09,101.89,134.49,102.31,111.5,108.56,115.93,65.27,57.33,128.45,141.91,80.32,78.92,102.15,79.95,78.45,105.71,100.83,126.49,108.49,139.18,94.8,35.98,106.79,127.38,87.57,102.2,87.17,75.32,90.53,100.83,89.5,115.69,122.67,170.09,97.65,122.34,128.8,147.27,76.16,93.17,105.95,87.78,103.02,124.86,86.96,102.48,93.21,117.98,81.74,50.86,110.76,119.63,105.03,126.05,104.87,120.37,112.69,121.68,96.67,90.36,89.25,75.79,105.45,111.55,114.82,108.52,118.36,142.12,110.53,113.22,103.56,119.77,114.79,137.77,95.16,83.54,93.8,92.87,108.4,96.56,107.41,98.91,88.51,126.04,118.7,149.72
2021-01-27,116.54,139.54,112.61,125.48,100.22,106.08,112.22,126.39,85.77,80.44,92.07,92.24,95.89,105.22,108.16,136.81,103.26,111.78,108.01,112.66,67.34,55.39,126.07,136.57,92.59,87.15,106.47,82.47,107.8,124.84,99.77,129.4,104.89,129.13,96.62,36.62,101.58,122.34,96.96,111.56,85.17,76.98,99.76,105.71,89.17,112.67,120.48,171.08,88.77,109.88,127.36,152.98,105.57,122.28,102.22,86.73,100.91,124.41,97.57,113.19,103.0,126.48,90.56,57.56,111.65,122.6,108.26,127.38,105.89,118.09,111.68,117.15,97.75,96.07,100.61,84.07,103.83,116.74,112.04,105.91,122.87,144.72,106.35,105.19,103.89,119.47,116.99,140.88,94.34,84.55,99.47,97.53,108.34,99.94,110.23,104.3,107.77,139.53,121.87,167.93
2021-01-28,122.58,142.5,112.37,122.15,103.46,110.1,121.54,133.97,87.07,82.08,99.3,104.4,103.64,114.33,108.75,142.73,107.19,117.85,116.91,121.75,68.37,58.85,134.79,150.92,97.6,88.93,109.58,85.7,116.57,128.25,110.78,135.21,106.04,130.54,99.04,38.17,107.91,123.81,96.68,110.61,89.66,76.6,102.33,107.86,94.69,118.04,126.57,172.42,103.49,132.14,136.8,159.07,116.88,132.96,106.45,98.31,104.37,129.31,99.79,114.94,105.12,128.34,93.5,56.64,112.36,123.14,113.51,142.02,107.62,118.71,117.88,123.99,101.96,98.04,102.39,84.51,106.5,114.91,123.1,119.57,136.69,163.22,113.44,113.05,107.39,122.54,123.94,148.4,100.65,92.78,96.29,96.1,110.95,99.67,109.7,99.31,111.01,142.15,131.35,171.98
